SKU,Title,Image,Manufacturer (Brand),Released Date,Price,Specifications,Descriptions,URL
goodsmile9839,b'Nero Claudius: Racing Ver. ',https:////images.goodsmile.info/cgm/images/product/20200729/9839/72614/large/3cda0dff8861c661278ee0bd2b99411a.jpg,b'\n                          GOODSMILE RACING \xef\xbc\x86 TYPE-MOON RACING\n                      ',2021/09,"b'\xc2\xa515,273\n                       (Before Tax)\n                      '", Painted 1/7th scale ABS&PVC complete product with stand included. Approximately 250mm in height (including lollipop sign).,"b""\nThe Roman Emperor, promising the team's success.\nPresenting a scale figure of Nero Claudius in her GOODSMILE RACING & TYPE-MOON RACING costume! The original illustration by Arco Wada has been carefully recreated. Her outfit is sporty and elegant, featuring a halberd-shaped lollipop sign, shining gold armor and a racing suit that features varied black and red coloring. Be sure to add her to your collection!\n""",https://www.goodsmile.info/en/product/9839/Nero+Claudius+Racing+Ver.html
goodsmile10187,"b""Jeanne d'Arc: Racing Ver. """,https:////images.goodsmile.info/cgm/images/product/20201007/10187/75474/large/e80255c617af878d2a5e032f08d04bf0.jpg,b'\n                          GOODSMILE RACING \xef\xbc\x86 TYPE-MOON RACING\n                      ',2021/09,"b'\xc2\xa516,182\n                       (Before Tax)\n                      '", Painted ABS&PVC 1/7th scale articulated figure with stand included. Approximately 245mm in height.,"b""\nThe saint praying for the team's success.\nPresenting a scale figure of Jeanne d'Arc in her GOODSMILE RACING & TYPE-MOON RACING costume! The original illustration by Ototsugu Konoe has been carefully recreated. Jeanne is posed with her wheel gun, dressed in her purple and black racing suit and silver armor. Even the asphalt-like base has been created in incredible detail. Be sure to add her to your collection!\n""",https://www.goodsmile.info/en/product/10187/Jeanne+d+Arc+Racing+Ver.html
goodsmile10146,Cocoa: Warrior Ver. ,https:////images.goodsmile.info/cgm/images/product/20200929/10146/75372/large/7c06f3d05e378c5deacec5846cb52044.jpg,"
                          Good Smile Company
                      ",2021/09,"¥15,273
                       (Before Tax)
                      ", Painted 1/7th scale ABS&PVC complete product with stand included. Approximately 225mm in height.,"
""Dive into my heart!""
From the popular smartphone game ""Kirara Fantasia"" comes a scale figure of the ""Warrior"" Cocoa! Different from her normal café uniform, Cocoa is dressed in her battle outfit! Cocoa has been recreated with a playful expression on her face as she carries her sword on her back and coffee cup in her hand. Be sure to add her to your collection!
",https://www.goodsmile.info/en/product/10146/Cocoa+Warrior+Ver.html
goodsmile3939,Hatsune Miku: Deep Sea Girl ver. ,https:////images.goodsmile.info/cgm/images/product/20130529/3939/24293/large/d6e3ea77521a4f677438f3413a90439d.jpg,"
                          Good Smile Company
                      ",2021/08,"¥15,000
                       (Before Tax)
                      ", Painted 1/8th scale PVC figure with stand included. Approximately 160mm in height.,"
The story of a girl surrounded by bliss.
From Yuuyu-P's popular song with over a million views on Nico Nico Douga, 'Deep Sea Girl' comes a rerelease of the popular 1/8th scale Hatsune Miku figure! The figure is based on the beautiful illustration by Haruyo, drawn in commemoration of the song being selected as a part of the Million Saisei & EXIT TUNES PRESENTS vocalodream album.
Miku is posed sitting at the bottom of the deep sea, with her beautiful pale skin contrasting with her jet black dress. Her hair and the coral around her gently sway in the ocean current, painting a beautiful underwater scene for fans to enjoy.
",https://www.goodsmile.info/en/product/3939/Hatsune+Miku+Deep+Sea+Girl+ver.html
goodsmile10137,b'Nendoroid Doll: Outfit Set (Slytherin Uniform - Boy) ',https:////images.goodsmile.info/cgm/images/product/20200928/10137/75008/large/36e4a923be858a9e285cbbf8c14d2d9b.jpg,b'\n                          Good Smile Company\n                      ',2021/08,"b'\xc2\xa53,818\n                       (Before Tax)\n                      '"," Materials: Cotton, Polyester, PVC, Magnets","b'\nFrom ""Harry Potter"" comes an outfit set for use with your Nendoroid Dolls!\nFrom the internationally popular ""Harry Potter"" film series comes a Nendoroid Doll outfit set of the school uniform worn by students in the Slytherin house at the Hogwarts School of Witchcraft and Wizardry!\nSet Contents:\n\nScarf\nRobe\nShirt with Sweater Attached\nSlacks\nSocks\nLoafers (with Magnets in Soles)\n\n*Please note that the torso stand is not included with this product.\nAlso available: Nendoroid Doll: Outfit Set (Slytherin Uniform - Girl), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Boy), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Girl), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Boy), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Girl)\n\xe2\x96\xa0 Wizarding World Special Site\nhttps://special.goodsmile.info/harrypotter/\n\n'",https://www.goodsmile.info/en/product/10137/Nendoroid+Doll+Outfit+Set+Slytherin+Uniform+Boy.html
goodsmile10139,b'Nendoroid Doll: Outfit Set (Slytherin Uniform - Girl) ',https:////images.goodsmile.info/cgm/images/product/20200928/10139/75021/large/96d4cd19b36adc3d6252c98990b567df.jpg,b'\n                          Good Smile Company\n                      ',2021/08,"b'\xc2\xa53,818\n                       (Before Tax)\n                      '"," Materials: Cotton, Polyester, PVC, Magnets","b'\nFrom ""Harry Potter"" comes an outfit set for use with your Nendoroid Dolls!\nFrom the internationally popular ""Harry Potter"" film series comes a Nendoroid Doll outfit set of the school uniform worn by students in the Slytherin house at the Hogwarts School of Witchcraft and Wizardry!\nSet Contents:\n\nScarf\nRobe\nShirt with Sweater Attached\nSkirt\nSocks\nUnderwear\nPumps (with Magnets in Soles)\n\n*Please note that the torso stand is not included with this product.\nAlso available: Nendoroid Doll: Outfit Set (Slytherin Uniform - Boy), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Boy), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Girl), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Boy), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Girl)\n\xe2\x96\xa0 Wizarding World Special Site\nhttps://special.goodsmile.info/harrypotter/\n\n'",https://www.goodsmile.info/en/product/10139/Nendoroid+Doll+Outfit+Set+Slytherin+Uniform+Girl.html
goodsmile10140,b'Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Boy) ',https:////images.goodsmile.info/cgm/images/product/20200928/10140/75028/large/423e69df5d8579ae10ed3038354cd955.jpg,b'\n                          Good Smile Company\n                      ',2021/08,"b'\xc2\xa53,818\n                       (Before Tax)\n                      '"," Materials: Cotton, Polyester, PVC, Magnets","b'\nFrom ""Harry Potter"" comes an outfit set for use with your Nendoroid Dolls!\nFrom the internationally popular ""Harry Potter"" film series comes a Nendoroid Doll outfit set of the school uniform worn by students in the Hufflepuff house at the Hogwarts School of Witchcraft and Wizardry!\nSet Contents:\n\nScarf\nRobe\nShirt with Sweater Attached\nSlacks\nSocks\nLoafers (with Magnets in Soles)\n\n*Please note that the torso stand is not included with this product.\nAlso available: Nendoroid Doll: Outfit Set (Slytherin Uniform - Boy), Nendoroid Doll: Outfit Set (Slytherin Uniform - Girl), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Girl), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Boy), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Girl)\n\xe2\x96\xa0 Wizarding World Special Site\nhttps://special.goodsmile.info/harrypotter/\n\n'",https://www.goodsmile.info/en/product/10140/Nendoroid+Doll+Outfit+Set+Hufflepuff+Uniform+Boy.html
goodsmile10142,b'Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Boy) ',https:////images.goodsmile.info/cgm/images/product/20200928/10142/75033/large/71f9c7066b9f6d3763d0b58e68d8e510.jpg,b'\n                          Good Smile Company\n                      ',2021/08,"b'\xc2\xa53,818\n                       (Before Tax)\n                      '"," Materials: Cotton, Polyester, PVC, Magnets","b'\nFrom ""Harry Potter"" comes an outfit set for use with your Nendoroid Dolls!\nFrom the internationally popular ""Harry Potter"" film series comes a Nendoroid Doll outfit set of the school uniform worn by students in the Ravenclaw house at the Hogwarts School of Witchcraft and Wizardry!\nSet Contents:\n\nScarf\nRobe\nShirt with Sweater Attached\nSlacks\nSocks\nLoafers (with Magnets in Soles)\n\n*Please note that the torso stand is not included with this product.\nAlso available: Nendoroid Doll: Outfit Set (Slytherin Uniform - Boy), Nendoroid Doll: Outfit Set (Slytherin Uniform - Girl), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Boy), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Girl), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Girl)\n\xe2\x96\xa0 Wizarding World Special Site\nhttps://special.goodsmile.info/harrypotter/\n\n'",https://www.goodsmile.info/en/product/10142/Nendoroid+Doll+Outfit+Set+Ravenclaw+Uniform+Boy.html
goodsmile10141,b'Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Girl) ',https:////images.goodsmile.info/cgm/images/product/20200928/10141/75029/large/bd04681d11e8f185ef73f758988fcdc7.jpg,b'\n                          Good Smile Company\n                      ',2021/08,"b'\xc2\xa53,818\n                       (Before Tax)\n                      '"," Materials: Cotton, Polyester, PVC, Magnets","b'\nFrom ""Harry Potter"" comes an outfit set for use with your Nendoroid Dolls!\nFrom the internationally popular ""Harry Potter"" film series comes a Nendoroid Doll outfit set of the school uniform worn by students in the Hufflepuff house at the Hogwarts School of Witchcraft and Wizardry!\nSet Contents:\n\nScarf\nRobe\nShirt with Sweater Attached\nSkirt\nSocks\nUnderwear\nPumps (with Magnets in Soles)\n\n*Please note that the torso stand is not included with this product.\nAlso available: Nendoroid Doll: Outfit Set (Slytherin Uniform - Boy), Nendoroid Doll: Outfit Set (Slytherin Uniform - Girl), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Boy), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Boy), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Girl)\n\xe2\x96\xa0 Wizarding World Special Site\nhttps://special.goodsmile.info/harrypotter/\n\n'",https://www.goodsmile.info/en/product/10141/Nendoroid+Doll+Outfit+Set+Hufflepuff+Uniform+Girl.html
goodsmile10143,b'Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Girl) ',https:////images.goodsmile.info/cgm/images/product/20200928/10143/75037/large/c37330430fc0a6048ce2ae38c103c5a7.jpg,b'\n                          Good Smile Company\n                      ',2021/08,"b'\xc2\xa53,818\n                       (Before Tax)\n                      '"," Materials: Cotton, Polyester, PVC, Magnets","b'\nFrom ""Harry Potter"" comes an outfit set for use with your Nendoroid Dolls!\nFrom the internationally popular ""Harry Potter"" film series comes a Nendoroid Doll outfit set of the school uniform worn by students in the Ravenclaw house at the Hogwarts School of Witchcraft and Wizardry!\nSet Contents:\n\nScarf\nRobe\nShirt with Sweater Attached\nSkirt\nSocks\nUnderwear\nPumps (with Magnets in Soles)\n\n*Please note that the torso stand is not included with this product.\nAlso available: Nendoroid Doll: Outfit Set (Slytherin Uniform - Boy), Nendoroid Doll: Outfit Set (Slytherin Uniform - Girl), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Boy), Nendoroid Doll: Outfit Set (Hufflepuff Uniform - Girl), Nendoroid Doll: Outfit Set (Ravenclaw Uniform - Boy)\n\xe2\x96\xa0 Wizarding World Special Site\nhttps://special.goodsmile.info/harrypotter/\n\n'",https://www.goodsmile.info/en/product/10143/Nendoroid+Doll+Outfit+Set+Ravenclaw+Uniform+Girl.html
goodsmile9970,Aigis ,https:////images.goodsmile.info/cgm/images/product/20200826/9970/73591/large/13baa37385becc966d96220b8efdb836.jpg,"
                          Phat!
                      ",2021/08,"¥16,800
                       (Before Tax)
                      ", Painted 1/7th scale ABS&PVC complete product with stand included. Approximately 200mm in height (including base).,"
""I want to be the world's first dancing anti-Shadow weapon!""
From the Persona series rhythm game ""Persona 3: Dancing in Moonlight"" comes a scale figure of Aigis! She's been recreated in a dancing pose in her Ball Stage Outfit based on the game's key visual. The mechanical design of her headphones and arm panels have been faithfully captured in figure form. A stylish base featuring the game's logo is also included.
",https://www.goodsmile.info/en/product/9970/Aigis.html
goodsmile10128,b'figma Sailor Outfit Body (Emily) ',https:////images.goodsmile.info/cgm/images/product/20200924/10128/75081/large/822ae4e1d70f99d385df3ba8731c0d35.jpg,b'\n\n                            Max Factory\n                          \n',2021/08,"b'\xc2\xa55,364\n                       (Before Tax)\n                      '", Painted ABS&PVC non-scale articulated figure with stand included. Approximately 130mm in height.,"b'\nSchool life in figma form!\nThe original character Emily is joining the figma Styles series in a sailor outfit!\n\nUsing the smooth yet posable joints of figma, you can create a variety of different poses.\nShe comes with both a smiling face and a pouting face with puffed out cheeks.\nHer pleated skirt is made out of fabric, making it easy to adjust for posing.\nHer etched metal glasses are removable.\nThe figure is standard figma size, allowing you to switch head parts with other characters! (Not compatible with all figmas.)\nAn articulated figma stand is included, which allows various poses to be taken.\r\n\n\n\xe2\x86\x92What is figma Styles?\n'",https://www.goodsmile.info/en/product/10128/figma+Sailor+Outfit+Body+Emily.html
goodsmile10095,Yoto Hime: Scarlet Saber Ver. ,https:////images.goodsmile.info/cgm/images/product/20200918/10095/74623/large/ad11506817ca3b00b76a62bdc87c27f9.jpg,"
                          Myethos
                      ",2021/08,"¥16,000
                       (Before Tax)
                      ", Painted 1/8th scale ABS&PVC complete product with stand included. Approximately 120mm in height.,"
""'Strong' and 'weak'; which side is happier?""
From the smartphone game ""Onmyoji"" comes a 1/8th scale figure of Yoto Hime! She has been faithfully recreated in her appearance from the skin ""Scarlet Saber""! The figure features a sexy atmosphere, and her cursed blade and cherry blossom patterned kimono have been created in stunning detail. Be sure to add her to your collection!
",https://www.goodsmile.info/en/product/10095/Yoto+Hime+Scarlet+Saber+Ver.html
