Product Name,Price (RM),Sold Units,Seller Region,Links
New product live voice multi-section can be connected to the city bus light rail alloy model door open sound and pull back children s toyToys,144.00,NaN,Overseas,https://shopee.tw//New-product-live-voice-multi-section-can-be-connected-to-the-city-bus-light-rail-alloy-model-door-open-sound-and-pull-back-children-s-toyToys-i.201847538.4353241229
Genuine Jiaye alloy car model Volkswagen LaVida police simulation decoration sound and light pull back children s toyToys,40.15,NaN,Overseas,https://shopee.tw//Genuine-Jiaye-alloy-car-model-Volkswagen-LaVida-police-simulation-decoration-sound-and-light-pull-back-children-s-toyToys-i.201847538.4353240778
Genuine alloy car model decoration supercar Bugatti Chilong simulation 4 door sound and light pull back children s toyToys,42.48,NaN,Overseas,https://shopee.tw//Genuine-alloy-car-model-decoration-supercar-Bugatti-Chilong-simulation-4-door-sound-and-light-pull-back-children-s-toyToys-i.201847538.4053240730
Genuine alloy simulation touring car model children s sound and light pull back toyToys,44.25,NaN,Overseas,https://shopee.tw//Genuine-alloy-simulation-touring-car-model-children-s-sound-and-light-pull-back-toyToys-i.201847538.3453336690
Japan Kids Furikake Rice Seasoning 2.2g ( Suitable for kids ) - kid food / kids food / kids friendly,27.00,NaN,Selangor,https://shopee.tw//Japan-Kids-Furikake-Rice-Seasoning-2.2g-(-Suitable-for-kids-)-kid-food-kids-food-kids-friendly-i.6906012.7653935224
Daesang Wellife Daily Probiotics 19 KIDS Synbiotics - 2g x 60 sticks / 19 types of 200billion CFU,159.00,28,Overseas,https://shopee.tw//Daesang-Wellife-Daily-Probiotics-19-KIDS-Synbiotics-2g-x-60-sticks-19-types-of-200billion-CFU-i.16528287.6833587751
b'\xf0\x9f\x94\xa5Buy 10 free 1\xf0\x9f\x94\xa5 Ready Stock 2-12Y Kids Clothes Baby Boy Girls Short Sleeve T-Shirt Tee Top Tops',39.60,19100.0,Overseas,b'https://shopee.tw//\xf0\x9f\x94\xa5Buy-10-free-1\xf0\x9f\x94\xa5-Ready-Stock-2-12Y-Kids-Clothes-Baby-Boy-Girls-Short-Sleeve-T-Shirt-Tee-Top-Tops-i.74510320.2821522355'
2PCS Set Cotton Short-sleeved Shirt + Shorts Kids Clothing Baby Girls Clothing Girl Costume2PCS Set Baju Katun Lengan Pendek + Seluar pendek Pakaian Kanak-kanak Bayi Perempuan Pakaian Gadis Kostum,41.25,38,Overseas,https://shopee.tw//2PCS-Set-Cotton-Short-sleeved-Shirt-Shorts-Kids-Clothing-Baby-Girls-Clothing-Girl-Costume2PCS-Set-Baju-Katun-Lengan-Pendek-Seluar-pendek-Pakaian-Kanak-kanak-Bayi-Perempuan-Pakaian-Gadis-Kostum-i.70540708.4550349145
b'\xf0\x9f\x94\xa5Buy 10 free 1\xf0\x9f\x94\xa5 Ready Stock 2-12Y Kids Clothes Baby Boy Girls T-shirt Short Sleeve T shirt Top Tops Tee',71.50,3000.0,Overseas,b'https://shopee.tw//\xf0\x9f\x94\xa5Buy-10-free-1\xf0\x9f\x94\xa5-Ready-Stock-2-12Y-Kids-Clothes-Baby-Boy-Girls-T-shirt-Short-Sleeve-T-shirt-Top-Tops-Tee-i.74510320.6132558552'
b'Ready Stock \xf0\x9f\x94\xa5Japan echo baby spoon or fork self-feeding tableware cutlery blw Food Kids Spoon',39.53,1700.0,Penang,b'https://shopee.tw//Ready-Stock-\xf0\x9f\x94\xa5Japan-echo-baby-spoon-or-fork-self-feeding-tableware-cutlery-blw-Food-Kids-Spoon-i.235331653.5225962286'
New cartoon 3D KIDS Hoodies Children's Hoodie Printed Hooded Fashion Streetwear Clothesa,70.00,201,Overseas,https://shopee.tw//New-cartoon-3D-KIDS-Hoodies-Children's-Hoodie-Printed-Hooded-Fashion-Streetwear-Clothesa-i.162173227.6423901773
HC Mini Around Beads Wire Maze Educational Toy Kids Game Mainan Baby Mainan Budak,80.00,87,Selangor,https://shopee.tw//HC-Mini-Around-Beads-Wire-Maze-Educational-Toy-Kids-Game-Mainan-Baby-Mainan-Budak-i.179501493.6232545931
b'\xf0\x9f\x94\xa5Buy 10 free 1\xf0\x9f\x94\xa5 Ready Stock 2-12Y Kids Clothes Short Sleeve T-Shirt Baby Boy Girls Tee Top Tops',43.45,8900.0,Overseas,b'https://shopee.tw//\xf0\x9f\x94\xa5Buy-10-free-1\xf0\x9f\x94\xa5-Ready-Stock-2-12Y-Kids-Clothes-Short-Sleeve-T-Shirt-Baby-Boy-Girls-Tee-Top-Tops-i.74510320.2677302380'
kids clothing girls outwears sun protection child jacket summer cartoon cute,58.30,5,Overseas,https://shopee.tw//kids-clothing-girls-outwears-sun-protection-child-jacket-summer-cartoon-cute-i.289989840.5444392389
[Ready Stock Malaysia] Children Learning Chopstick Kids Training Chopstick,1.20,60,Selangor,https://shopee.tw//-Ready-Stock-Malaysia-Children-Learning-Chopstick-Kids-Training-Chopstick-i.165556862.6251097058
b'2 boxes US Clinicals Strong Brain Kids 90 chewable burstlets DHA&EPA \xe5\x84\xbf\xe7\xab\xa5\xe8\xa1\xa5\xe8\x84\x91\xe5\xbc\xba\xe8\xae\xb0\xe5\xbf\x86\xe5\x8a\x9b',79.00,67,Selangor,b'https://shopee.tw//2-boxes-US-Clinicals-Strong-Brain-Kids-90-chewable-burstlets-DHA-EPA-\xe5\x84\xbf\xe7\xab\xa5\xe8\xa1\xa5\xe8\x84\x91\xe5\xbc\xba\xe8\xae\xb0\xe5\xbf\x86\xe5\x8a\x9b-i.14372298.2711403107'
Crt Kids Scooter toys Foldable and Adjustable Four Wheels Kick Scooter Skuter Kids Skuter mainan,5.93,4700.0,Selangor,https://shopee.tw//Crt-Kids-Scooter-toys-Foldable-and-Adjustable-Four-Wheels-Kick-Scooter-Skuter-Kids-Skuter-mainan-i.187605686.6028789268
Montessori Baby Toys Black White Flash Cards Kids Sensory Toys High Contrast Visual Stimulation Learning Activity Flashcards Baby Gifts C0642H,7.58,181,Overseas,https://shopee.tw//Montessori-Baby-Toys-Black-White-Flash-Cards-Kids-Sensory-Toys-High-Contrast-Visual-Stimulation-Learning-Activity-Flashcards-Baby-Gifts-C0642H-i.244754042.3337122391
Unicorn Kids Ride On Electric Bike Tricycle Motorcycle,22.32,4,Penang,https://shopee.tw//Unicorn-Kids-Ride-On-Electric-Bike-Tricycle-Motorcycle-i.67133888.2118788111
Kids Electric BMW Z4 Ride On Car + Parent Remote Control,5.93,131,Penang,https://shopee.tw//Kids-Electric-BMW-Z4-Ride-On-Car-Parent-Remote-Control-i.67133888.1240277176
b'500 VOCABULARY Words Kids Need To Know \xe2\x9e\x95 FREE 3 Gift\xf0\x9f\x8e\x81',7.58,342,Perak,b'https://shopee.tw//500-VOCABULARY-Words-Kids-Need-To-Know-\xe2\x9e\x95-FREE-3-Gift\xf0\x9f\x8e\x81-i.14142051.2610260339'
b'2 boxes VITAREALM Power Eye Kids 60 chewable tablets - Eye health\xe5\x84\xbf\xe7\xab\xa5\xe6\x8a\xa4\xe7\x9c\xbc\xe9\x98\xb2\xe8\xbf\x91\xe8\xa7\x86\xe5\x92\x80\xe5\x9a\xbc\xe7\x89\x87',7.94,12,Null,b'https://shopee.tw//2-boxes-VITAREALM-Power-Eye-Kids-60-chewable-tablets-Eye-health\xe5\x84\xbf\xe7\xab\xa5\xe6\x8a\xa4\xe7\x9c\xbc\xe9\x98\xb2\xe8\xbf\x91\xe8\xa7\x86\xe5\x92\x80\xe5\x9a\xbc\xe7\x89\x87-i.182589468.3112002602'
Portable Folding Kids Play Tent Castle Cubby House,15.00,4,Johor,https://shopee.tw//Portable-Folding-Kids-Play-Tent-Castle-Cubby-House-i.172910626.3547963661
Anti lost kids tali keselamatan kanak-kanak,34.56,167,Pahang,https://shopee.tw//Anti-lost-kids-tali-keselamatan-kanak-kanak-i.110192732.1730198938
Kids Electric Bike Children Ride On Electric Motorcycle Electric Car Harley Police Bike,5.84,53,Perak,https://shopee.tw//Kids-Electric-Bike-Children-Ride-On-Electric-Motorcycle-Electric-Car-Harley-Police-Bike-i.148945813.2679380831
UR KL Seller Read Stock Kids Scooter Foldable and Adjustable Flash Wheels Scooter,5.93,6,Selangor,https://shopee.tw//UR-KL-Seller-Read-Stock-Kids-Scooter-Foldable-and-Adjustable-Flash-Wheels-Scooter-i.203608253.3351498505
Anti-rape Device Alarm Women Girl Portable Alarm Keychain Loud Alert Attack Panic Kids Safety Personal Security Keychain,7.58,33,Overseas,https://shopee.tw//Anti-rape-Device-Alarm-Women-Girl-Portable-Alarm-Keychain-Loud-Alert-Attack-Panic-Kids-Safety-Personal-Security-Keychain-i.183188070.7908039411
b'\xf0\x9f\x9a\x9aFast Delivery\xf0\x9f\x92\xa8 THE Kinetic DIY SAND Play Set Kids Children Play Toy',9.38,NaN,Perak,b'https://shopee.tw//\xf0\x9f\x9a\x9aFast-Delivery\xf0\x9f\x92\xa8-THE-Kinetic-DIY-SAND-Play-Set-Kids-Children-Play-Toy-i.223984847.6153368829'
